Episode: 0, Total Reward: 188.9, Max Tile: 64, Steps: 87, Epsilon: 1.000
Episode: 1, Total Reward: 401.0, Max Tile: 128, Steps: 165, Epsilon: 0.999
Episode: 2, Total Reward: 338.8, Max Tile: 128, Steps: 139, Epsilon: 0.998
Episode: 3, Total Reward: 200.9, Max Tile: 64, Steps: 88, Epsilon: 0.997
Episode: 4, Total Reward: 332.4, Max Tile: 128, Steps: 142, Epsilon: 0.996
Episode: 5, Total Reward: 226.6, Max Tile: 64, Steps: 99, Epsilon: 0.995
Episode: 6, Total Reward: 182.6, Max Tile: 64, Steps: 86, Epsilon: 0.994
Episode: 7, Total Reward: 339.8, Max Tile: 128, Steps: 140, Epsilon: 0.993
Episode: 8, Total Reward: 334.4, Max Tile: 128, Steps: 134, Epsilon: 0.992
Episode: 9, Total Reward: 475.8, Max Tile: 128, Steps: 189, Epsilon: 0.991
Episode: 10, Total Reward: 354.7, Max Tile: 128, Steps: 145, Epsilon: 0.990
Episode: 11, Total Reward: 154.4, Max Tile: 32, Steps: 73, Epsilon: 0.989
Episode: 12, Total Reward: 306.7, Max Tile: 128, Steps: 128, Epsilon: 0.988
Episode: 13, Total Reward: 330.7, Max Tile: 128, Steps: 139, Epsilon: 0.987
Episode: 14, Total Reward: 296.9, Max Tile: 128, Steps: 125, Epsilon: 0.986
Episode: 15, Total Reward: 190.9, Max Tile: 64, Steps: 83, Epsilon: 0.985
Episode: 16, Total Reward: 294.3, Max Tile: 128, Steps: 119, Epsilon: 0.984
Episode: 17, Total Reward: 369.2, Max Tile: 128, Steps: 152, Epsilon: 0.983
Episode: 18, Total Reward: 378.3, Max Tile: 128, Steps: 159, Epsilon: 0.982
Episode: 19, Total Reward: 132.1, Max Tile: 32, Steps: 60, Epsilon: 0.981
Episode: 20, Total Reward: 278.5, Max Tile: 128, Steps: 121, Epsilon: 0.980
Episode: 21, Total Reward: 237.4, Max Tile: 64, Steps: 105, Epsilon: 0.979
Episode: 22, Total Reward: 193.2, Max Tile: 64, Steps: 89, Epsilon: 0.978
Episode: 23, Total Reward: 190.7, Max Tile: 64, Steps: 87, Epsilon: 0.977
Episode: 24, Total Reward: 286.1, Max Tile: 128, Steps: 124, Epsilon: 0.976
Episode: 25, Total Reward: 175.7, Max Tile: 64, Steps: 77, Epsilon: 0.975
Episode: 26, Total Reward: 344.0, Max Tile: 128, Steps: 144, Epsilon: 0.974
Episode: 27, Total Reward: 393.2, Max Tile: 128, Steps: 164, Epsilon: 0.973
Episode: 28, Total Reward: 303.7, Max Tile: 128, Steps: 134, Epsilon: 0.972
Episode: 29, Total Reward: 136.1, Max Tile: 64, Steps: 62, Epsilon: 0.971
Episode: 30, Total Reward: 207.0, Max Tile: 64, Steps: 92, Epsilon: 0.970
Episode: 31, Total Reward: 252.7, Max Tile: 64, Steps: 117, Epsilon: 0.969
Episode: 32, Total Reward: 320.8, Max Tile: 128, Steps: 130, Epsilon: 0.968
Episode: 33, Total Reward: 217.6, Max Tile: 64, Steps: 95, Epsilon: 0.968
Episode: 34, Total Reward: 178.6, Max Tile: 64, Steps: 80, Epsilon: 0.967
Episode: 35, Total Reward: 303.8, Max Tile: 128, Steps: 125, Epsilon: 0.966
Episode: 36, Total Reward: 327.9, Max Tile: 128, Steps: 140, Epsilon: 0.965
Episode: 37, Total Reward: 207.4, Max Tile: 64, Steps: 95, Epsilon: 0.964
Episode: 38, Total Reward: 291.2, Max Tile: 128, Steps: 123, Epsilon: 0.963
Episode: 39, Total Reward: 178.8, Max Tile: 64, Steps: 77, Epsilon: 0.962
Episode: 40, Total Reward: 368.2, Max Tile: 128, Steps: 160, Epsilon: 0.961
Episode: 41, Total Reward: 252.2, Max Tile: 128, Steps: 106, Epsilon: 0.960
Episode: 42, Total Reward: 267.8, Max Tile: 128, Steps: 113, Epsilon: 0.959
Episode: 43, Total Reward: 282.6, Max Tile: 128, Steps: 117, Epsilon: 0.958
Episode: 44, Total Reward: 262.0, Max Tile: 128, Steps: 108, Epsilon: 0.957
Episode: 45, Total Reward: 259.5, Max Tile: 64, Steps: 112, Epsilon: 0.956
Episode: 46, Total Reward: 399.6, Max Tile: 256, Steps: 162, Epsilon: 0.955
Episode: 47, Total Reward: 217.7, Max Tile: 64, Steps: 96, Epsilon: 0.954
Episode: 48, Total Reward: 283.9, Max Tile: 128, Steps: 120, Epsilon: 0.953
Episode: 49, Total Reward: 289.4, Max Tile: 64, Steps: 123, Epsilon: 0.952
Episode: 50, Total Reward: 467.6, Max Tile: 256, Steps: 185, Epsilon: 0.951
Episode: 51, Total Reward: 257.9, Max Tile: 64, Steps: 107, Epsilon: 0.950
Episode: 52, Total Reward: 496.5, Max Tile: 256, Steps: 205, Epsilon: 0.949
Episode: 53, Total Reward: 322.6, Max Tile: 128, Steps: 132, Epsilon: 0.948
Episode: 54, Total Reward: 246.5, Max Tile: 128, Steps: 100, Epsilon: 0.947
Episode: 55, Total Reward: 367.6, Max Tile: 128, Steps: 159, Epsilon: 0.946
Episode: 56, Total Reward: 248.5, Max Tile: 64, Steps: 108, Epsilon: 0.946
